name,firstname,birthdate,deathdate,url,eat_member
Adams,Carl
"E.A.T. local group In Portland, Oregon "
"E.A.T. local group in San Francisco, California "
E.A.T. Local Groups 
Electronic Enclosure Corp. 
"Envirolab, University of California, Los Angeles "
"Environ Electronic Labs, Inc. "
Experiments in Art and Technology (E.A.T.) 
Folkways Records and Service Corp. 
FRAC Bourgogne 
G.T. Schjeldahl Co. 
"Howard J. Rubenstein Associates, Inc. "
Industrial Timer 
Institute of Art and Urban Resources 
J. M. Kaplan Fund 
Judson Dance Theater 
Leo Castelli Gallery 
Luchow's Restaurant 
Lucinda Childs Dance Foundation 
Marineland of Florida 
McCordi Corp. 
Mee Industries 
Merce Cunningham Dance Company 
"Ministry of Education, El Salvador "
"Moderna Museet, Stockholm "
Mont Sinai Hospital 
Mount Sinai Laboratory 
"Museum Ludwig, Koln "
"Museum of Modern Art, New York "
NASA 
"National Institute of Design, Ahmedabad"
"National Institute of Design, India "
National Institute of Mental Health 
Nehru Foundation for Development (NFD) 
New York State Council on the Arts 
Ninon Columbia 
Nippon Glass Co. 
"Nuclear Research Associates, Inc. "
"PepsiCo, Inc. "
Pichel Industries 
Polytechnic Institute of New York 
Raven Industries 
Rockefeller Foundation 
Schweber Electronics 
"Seismological Laboratory, University of Nevada "
Sloan Commission on Cable Communications 
Solomon R. Guggenheim Museum 
"Sony Buiding, Tokyo "
"Stedelijk Museum, Amsterdam "
Stockholm International Film Festival 
T.E.A.C. 
Teledyne 
The American Foundation for Automation and Employment 
The Arkville Erpf Fund 
The Black Mountain College 
The Cooper Union for the Advancement of Science and Art 
The Indian Atomic Energy Commission 
The Kitchen 
The New York Times 
The Sisler Foundation 
The Sonic Arts Union 
The United Nations International School 
Toshiba Electric Co. 
Trisha Brown Dance Company 
Tsutsunaka Plastic Co. 
U.C.L.A. Space Biology Laboratory 
"Uniroyal, Inc. "
United Nations Development Program 
United States Agency for International Development's 
U.S. Naval Oceanographic Office 
V.l.T.E.C. Corp. 
Westinghouse Corporation Defense & Electronic Systems Center 
Whale Fund of the New York 
Zoological Society
