"name","description","activityTags","technologyTags","artTags"
"Solo","12. For Deborah Hay's dance, Solo, Larry Heilos designed the electrical system, and he and Witt Wittnebert built eight radio-controlled carts that moved around the Armory floor, which were then covered to make platforms for dancers to stand or lie on.
Eight formally dressed performers entered and sat like a musical ensemble in front of antennas that transmitted the FM signal to the platforms. They operated the radio-control system to move the platforms into and around the space. Composer Jim Tenney acted as ""conductor"" of the orchestra.
Sixteen dancers, wearing shiny white costumes, entered the brightly lit space either walking or riding on a cart. They then walked or rode on the moving platforms in solo, duet, or trio formations, following specific rules for dancer and platform movement in relation to the performance area and to each other. David Tudor performed Toshi Ichiyanagi's work Funakakushi. From time to time the lights were turned out, coming back on to find dancers and platforms in different positions as they had continued performing in the darkness.","Work","Sound, Light, Electrical engineering, Radio","Performance, Theatre, Dance, Cinetic
"
"Open Score","13. Open Score, Robert Rauschenberg's piece for 9 Evenings, began with a tennis game on the floor of the Armory. Bill Kaminski designed a miniature FM transmitter that fit in the handle of the tennis racquet, and a contact microphone was attached to the handle of the racquet with the antenna wound around the frame of the head. Each time Frank Stella and Mimi Kanarek hit the bail the vibrations of the racquet strings were transmitted to the speakers around the armory, and a loud BONG was heard. At each BONG, one of the 48 lights went out, and the game ended when the Armory was in complete darkness. Five hundred people came on stage in the dark. Using infrared light and infrared television cameras, their images were picked up and projected on three large screens suspended in front of the audience. In a third section, Simone Forti, in a cloth sack, sang an Italian love song as Rauschenberg picked her up and put her down at several places on the Armory floor.","Work","Electrical engineering, Sound, Audio-system, Radio, Microphone, Receivers, Light, Projection, Television, Infrared
","Performance, Theatre"
"Bandoneon! (a Combine)","14. In this photograph David Tudor and Fred Waldhauer set up Tudor's piece Bandoneon! on the performance platform. Ten different types of microphones were attached to the band[o]neon and picked up the sound which was distributed to four different processing devices. The first was a forty-channel filter circuit. Twelve of its output channels were fed to the 12 speakers; the remaining channels activated relays to turn on and off spotlights on the balcony. Second, a processing circuit, which Tudor had built himself, fed four transducers attached to wood and metal structures moving on the Armory floor. The third was the 20-channel proportional control system, built by Fred Waldhauer, which controlled the intensity of eight lights mounted on the performance platform and fed the sound into different speakers around the Armory. The fourth device used the sound to modify images on the three television projectors.

15. David Tudor's Bandoneon! combined sound and visual elements. In this performance photograph Tudor is seated to the left on the performance platform, specially constructed for the Armory space to hold ail the electronic equipment and then move it easily onto the floor of the Armory at the time of the performance. Behind him are Bob Kieronski, who is operating a Vocoder, which he designed and built; David Behrman; Lowell Cross, who designed and operated the system for manipulating the images on the video projector; and Fred Waldhauer, who operated his proportional control system for the performance. Two of the wooden structures, to which Tudor attached transducers, and the horn speaker moved around the Armory floor on radio-controlled carts. To the top left can be seen the television projectors and screens. One of the characteristics of the Armory was a 5-second echo, which was a problem for some of the artists. Tudor worked with this long reverberation time, and in effect used the entire Armory as his instrument.  ","Work","Sound, Light, Electrical engineering","Performance, Concert, Theatre"
"Carriage Discreteness","16. In Carriage Discreteness Yvonne Rainer spread out in a grid on the Armory floor slats slabs, cubes, planks, sheets of different materials like Masonite, wood, and styrofoam beams made by Carl Andre. From a small balcony high on one wall of the Armory, Rainer transmitted instructions to the performers, who wore FM pickups on their wrists, telling them to carry objects from one part of the floor to another.","Work","Sound, Light, Electrical engineering, Radio, Microphone, Receivers","Performance, Theatre"
"Variations VII","17. For Variations VII John Cage wanted to ""use sounds available at the time of the performance."" 10 telephone lines were installed in the Armory by New York Telephone Company. He had lines open in various places in New York City including Luchow's, the Aviary, the 14th Street Con Edison electric power station, the ASPCA lost dog kennel, The New York Times press room, and Merce Cunningham's studio. Magnetic pickups on the telephone receivers fed these sound sources into the sound manipulation system. Cage also had 6 contact microphones on the performing platform itself and 12 contact microphones on household appliances such as a blender, a juicer, a toaster, a fan, etc. He also had 20 radio bands, 2 television bands, and 2 Geiger counters. Oscillators and pulse generators completed the sound sources. Thirty photocells and lights were mounted at ankle level around the performance area, which activated the different sound sources as the performers moved around. Cage invited the audience to move around freely and many stood near the performance area.","Work","Sound, Audio-system, Light, Photocells, Electrical engineering, Telephone, Microphone, Receivers
","Performance, Concert, Theatre"
"Vehicle","18. Peter Hirsch designed a 70 kHz Doppler sonar system for Lucinda Childs' piece, Vehicle. Childs swung three red buckets around inside the ultrasonic sound beams created by transmitters in the three stands as seen in the photograph. The reflected signals from the buckets mixed with the original 70 kHz signal, and the resulting beat frequency fell in the audible range. The sound was transmitted to the speakers around the Armory. It was a swishing noise like wind blowing through a forest.","Work","Sound, Light, Electrical engineering, Sonar, Ultrasonics","Performance, Theatre"
"Two Holes of Water - 3","19. In Robert Whitman's Two Holes of Water - 3 seven cars, carrying film and television projectors, drove onto the Armory floor and parked facing the back wall which was covered with white paper. On the balcony, television cameras shot performers Trisha Brown and Mimi Stark moving slowly in front of a curved mirror; and another shot Jackie Leavitt typing. On the Armory floor another camera shot Susanna di Maria pouring water and Les Levine ued a small fiber optic video camera inside his coat pocket Whitman fed the images of these live performances and off-air television images to the television projectors in the cars. He also cued the drivers to turn on nature films and films he had made himself, including a film that superimposed the back and front of a girl as she performed simple movements. Ken Dewey, high up in the winch hoist projected films onto a white screen on the floor. Contact microphones on the tailpipe of a car and on the typewriter and a Bertrand Russell speech were some of the sounds resounding through the Armory.","Work","Sound, Light, Electrical engineering, Projection, Television, Film, Optics, Mirror, Fiber optics","Performance, Theatre"
"Kisses Sweeter than Wine","20. Oyvind Fahls[t]röm's Kisses Sweeter than Wine was a complex, poetic theater performance incorporating live actors, elaborate props, and a triptych of slide, movie and television projection screens. Oyvind used a pillow that ""could sing out while it was bounced on the floor,"" a remote-controlled mylar missile circling the Armory, and snowflakes that fell upward. Characters included Jedadiah Buxton and other idiot savants who were ""capable of memorizing enormous amounts of data or of making multi-digit calculations in their head; ""a girl in a plastic swimming pool of Jello, Chinese Sparrows under attack, and Space Girl, dressed in silver, who descended in a winch hoist from the ceiling. Performers in white dress shirts gather around her as she holds up the head of then President Lyndon B. Johnson.","Work","Sound, Light, Electrical engineering, Chemical engineering, Projection, Film, Television, Telephone, Laser","Performance, Theatre"
"E.A.T. Meeting at the Central Plaza Hotel, New York","22. 9 Evenings generated a great interest in using new technology among the artists in New York, Robert Whitman, Fred Waldhauer, Robert Rauschenberg, and I decided to form Experiments in Art and Technology as a not-for-profit service organization for artists, engineers, scientists and industry, to promote artists' access to the new technology they wanted for their work. On November 30, 1966, we called a meeting at the Central Plaza Hotel on lower Broadway in New York to determine the amount of interest the artists had in this idea. Three hundred artists came to the meeting, and we collected eighty immediate requests for technical help. We realized that our first task was to interest more engineers in working with artists.","Meeting",,
"E.A.T. Publications","23. In January 1967 we began to publish a newsletter that reported on our efforts to structure E.A.T. and on the activities we were organizing to bring artists and engineers together. A year later, we split it into two publications: E.A. T. Operations and Information providing practical news about resources and procedures for member engineers and artists, and TECHNE, a newspaper with articles on collaborations and projects between artists and engineers using the new technology.","Publication",,
"E.A.T. Technical Services","24. The idea of the one-to-one collaboration between individual artists and engineers or scientists was the basis of E.A.T. These collaborations made it possible for artists to pursue ideas that required the use of new technology, and the work could develop in directions that neither the artist or the engineer could have foreseen. We also believed that these collaborations could lead technology in directions more positive for the needs, desires, and pleasures of the individual. We developed the Technical Services Program, whose principal activity was to match artists who had technical problems or projects with engineers or scientists who could work with them. Over the years E.A.T. has helped thousands of artists who approached us for technical assistance. In 1967 Fred Waldhauer and L.J. Robinson collaborated with Rauschenberg on his large interactive sculpture Soundings. In this photograph Robinson, center, talks with Rauschenberg, to the right, during the installation of Soundings at the Stedelijk Museum in Amsterdam.","Services",,
"Soundings","25. In a silent space Soundings is a mirror, eight feet high and thirty-six feet long. Behind the partially mirrorized front layer are two layers of plexiglass with images of wooden chairs silkscreened on them. Different lights behind the sheets of plexiglass are triggered by sounds in the room so that sets of lights go on, and illuminated images of chairs are seen through the mirror. Technically, Soundings works by having the sound signal from microphones hung in front of the panels split into four frequency bands, chosen to correspond to the pitch of different human voices. The signal from each frequency band controls a set of thirty-six 150-watt spotlights. and the brightness of the lights varies in intensity based on the volume of the sound. Thus, one frequency band activates nine lights throughout the piece; and soft sounds will produce a low light level.","Work
","Mirror, Sound, Audio-system, Sensors, Light, Electronical Engineering
","Interactive, With People"
"E.A.T. Press Conference","26. With the help of Theodore Kheel, we organized a press conference at Bob Rauschenberg's building on October 10, 1967, to formally launch E.A.T. It was accompanied by a one-day exhibition of works of art incorporating technology. Representatives from industry, labor, government, and the academic and technical communities, including John Pierce of Bell Laboratories, and Senator Jacob Javits, expressed support for E.A.T. at the press conference. Press coverage exceeded our expectations, including this above-the-fold article in The New York Times.","Press Conference",,
"E.A.T. Lecture-Demonstrations","27. In the spring of 1968, E.A.T. organized a series of thirty lecture demonstrations by engineers and scientists for artists, held at the E.A.T. loft at 9 East 16th Street. The lectures covered such technical subjects as lasers and holography; computer generated sound and images; color theory; paper; television; and new HexcelTM materials. Speakers came from academic, industrial and government laboratories such as, Bell Laboratories, Massachusetts Institute of Technology, National Bureau of Standards, Eastman-Kodak, Columbia University, IBM, and Union Camp Company. In this photograph, Herwig Kogelnik, who did some of the fundamental work on lasers at Bell Laboratories in Murray Hill, N.J., gives a lecture on lasers and holography.","Project, Lecture, Demonstration",,
"E.A.T. Local Groups","28. E.A.T. Local Groups began to spring up spontaneously as artists and engineers in areas outside New York contacted us wanting to set up artist-engineer collaborations to work with the new technology. We encouraged people to start Local Groups and gave them information and advice. By 1968 there were 28 E.A.T. Local Groups active in the U.S. and Canada, 4 in Europe and one in South America. In June 1968 we held an international conference at the loft in New York for E.A.T. representatives to meet and discuss ideas for organization and activities in their areas.
We also went on speaking tours to colleges and universities and visited Local Group meetings. In this photograph, I am speaking to a group in Toronto. Behind me is a projection of the first technical requests from the artists for 9 EVENINGS.
","Project",,
"Participation to the Annual meeting (1967) of the Institute of Electrical and Electronics Engineers (IEEE)","29. The initial effort of E.A.T. in 1967 and 1968 was to generate publicity and contacts in order to recruit engineers to work with artists and to raise money for the operation of E.A.T. We arranged for artists to visit technical laboratories like Bell Laboratories in Murray Hill, N.J., IBM Laboratories in Armonk, N.Y., and RCA Sarnoff Laboratories in Princeton, N.J. We held a weekly open house at the E.A.T. loft, where artists and engineers could meet and talk informally. In March 1967 we took a booth at the annual meeting of the Institute of Electrical and Electronics Engineers (IEEE) where artists made the case for engineers getting involved. In this photograph artists Tom Gormley and Hans Haacke, far right, are talking to an engineer. Our recruiting efforts were successful. Within three years, in addition to 2,000 artist members, we had more than 2,000 engineer members all over the country. This made it possible to carry out our goal of responding to every artist who required technical help and matching the artists with engineers who could collaborate with them on ideas the artists couldn't execute by themselves.","Meeting",,
"E.A.T. Competition","30. Again to stimulate interest in the technical community, E.A.T., in November 1967, announced a competition for the best contribution by an engineer to a work of art made in collaboration with an artist. The. prize was to be given to the engineer, and the judges were all engineers.
Some of the works were to be selected by Pontus Hultén for his exhibition, ""The Machine,"" at the Museum of Modern Art in 1968. E.A.T. offered to find partners for ail engineers and artists who wanted to enter the competition.

31. The E.A.T. competition generated more than 140 submissions from all over the world, and we decided to show all these works.  […] ","Project",,
"Some More Beginnings","31. The E.A.T. competition generated more than 140 submissions from all over the world, and we decided to show all these works. ""Some More Beginnings: Experiments in Art and Technology,"" which was the first major art and technology exhibition, opened at the Brooklyn Museum in November 1968. In this photo Peter Poole demonstrates Fakir in 3/4 Time by Niels and Lucy Young, which won a prize in the E.A.T. competition. On the same principle as a lariat, a loop of cotton ribbon held by vacuum to a rotating axle, moves 100 mph along itself, forming a standing stationary shape in space.","Project, Exhibition",,
"Pepsi Pavilion for Expo '70 in Osaka, Japan","32.
In September of 1968 Robert Breer introduced us to his neighbor, David Thomas of Pepsi Cola, who proposed that artists be involved in designing the Pepsi Pavilion for Expo '70 in Osaka, Japan. Breer and I chose Frosty Myers, Robert Whitman, and David Tudor to collaborate on the design of the Pavilion. As the design of the Pavilion developed, engineers and more artists were added to the project and given responsibility to develop specific elements. All in all 63 engineers, artists and scientists contributed to the design of the Pavilion.
Outside the Pavilion, the dome, which had been decided on before we came into the project, was covered by a water vapor cloud sculpture, by Fujiko Nakaya. And on the plaza, seven of Robert Breer's Floats, six-foot high white sculptures, moved around slowly at less than 2 feet per minute, emitting sound. Four tall triangular towers held the lights for Myers' Light Frame sculpture.

33.
This cross section of the Pavilion shows that visitors entered through a tunnel on the right, and descended into a dark clam-shaped room lit by moving patterns of laser light. Climbing the stairs, they came into the Mirror Dome, which was Bob Whitman's idea. It was a 90foot diameter 21O-degree spherical mirror made of aluminized mylar in which the real image of the floor and the visitors on it hung upside down in space over the their heads. David Tudor designed the sound system as an ""instrument"" with 32 input channels and 37 speakers arranged in a rhombic grid on the surface of the dome behind the mirror. Sound could be moved at varying speeds around or across the dome, or it could be shifted abruptly from any one speaker to another, creating point sources of sound. Both the lighting system, designed by artist Tony Martin, and the sound system could be pre-programed or controlled in real time from a console at one side of the Dome.
The artists wanted to create a Pavilion where the vis[i]tors could explore the envi[ro]nment and create their own experience. The artists also conceived of the Pavilion as a performance space, continuously programmed by visiting American and Japanese artists throughout the six months of Expo '70.

34.
The sloping floor and ceiling of the Clam Room was designed by Robert Whitman to provide a transition between the outside of the Pavilion and the Mirror Dome upstairs. It was dark, with some light coming from the glass ceiling which was the center part of the floor of the Mirror Dome. A sound-activated laser deflection system showered the floor and visitors with moving patterns of laser light 10 feet across. Lowell Cross designed the system which split the beam from a krypton laser into four colors, and sent each color beam to sets of mirrors mounted at right angles and vibrating up to 500 cycles per second to create the patterns. This is a view of the Clam Room looking toward the entrance tunnel.

35.
The original four artists wanted to cover the dome, which had been decided on before we became involved, with a cloud and asked Japanese artist Fujiko Nakaya to create it. We had already rejected chemical means of producing fog: carbon dioxide for environmental reasons and urea for public relations ones. Nakaya found cloud physicist Tom Mee in Pasadena, who designed a nozzle system for her. Water under pressure of 500 psi is pushed through an orifice 10 mil in diameter and hits a small pin which breaks the water into
droplets tiny enough to remain suspended in air. The system for the Pavilion consisted of 2,520 jet-spray nozzles organized in 10-foot strands of plastic pipe with one nozzle every foot, placed in the ridges and valleys on the top section of the roof. The system could generate a 6-foot thick 150-foot diameter area of low-hanging cloud. This required 41 tons of water per hour, and we had to build a small reservoir to continually feed the system. Nakaya took this photograph the first day she had the cloud system turned on full. The Expo fire brigade showed up, but much to their relief found only what they called 'water smoke.'

36.
A view of the Pavilion from the back with the cloud sculpture fully on and one of the towers for Myers' Light Frame sculpture. Nakaya designed a cloud control system to monitor the humidity and wind; different groups of nozzles were activated to produce more or less volume of cloud as the weather conditions demanded.

37.
The spherical mirror in the Pepsi Pavilion, showing the real image of the floor and the visitors hanging upside down in space over their heads. This optical effect resembles that of a hologram. Because of the size of our mirror, a spectator looking at the real image of a person could walk around that image and see it from ail sides. The effect was spectacular.
Our architect John Pearce devised an ingenious way the mylar mirror could be held up inside an air-tight spherical cage. A slight vacuum of less than 1/1000 of an atmosphere in the space between the cage and the mirror was sufficient to hold up the mirror. There was no need for cumbersome air locks.
The floor was divided into 10 areas made up of different materials, such as astroturf, rough wood, slate, tile, and asphalt. Through handsets, visitors could hear different sounds while standing on each different floor material: on the tile floor, horses hooves and shattering glass; on the astroturf, ducks, frogs, cicadas and lions roaring. These sounds were transmitted to the handset from wire loops embedded in the floor section.

38.
This photograph of Ritty Burchfield with a flag is the first formal photograph taken in the mirror and was used for publicity in Japan. Remy Charlip used this flag and other large pieces of colored cloth for a performance in the Mirror on opening day of the Pavilion. The space in the mirror was gentle and poetic, rich and always changing. It was quite complex in spite of its simplicity. Every day we discovered new and complicated optical effects.

39.
This photograph is printed upside down to demonstrate the real image effect in the mirror. We can clearly see the real image of the backs of two men (one wearing a white hat); and the fronts of the same two men standing on the floor, their arms raised, pointing toward their images. Visitors became very excited when they recognized themselves and their friends in the mirror.

40.
We took this photograph on March 15, the opening day of Expo '70, as everyone climb[e]d onto the entrance tunnel for a group port[rai]t.
1. Franny Breer, 2. David Tudor, 3. Julie Martin, 4. Calvin Tomkins, 
5. Jackie Serwer, 6. Robert Whitman (partially obscured), 7. Ardison
Phillips, 8. Fujilko Nakaya, 9. Frosty Myers, 10. Dore Weiner, 11.
Sachiko Tamai, 12. John Ryde, 13. Carla Harrison, 14. Gordon Garmire,
15. Robert Breer, 16. Lori Van't Slot, 17. Harry Harper, 18. Billy Klüver, 19. 
Remy Charlip, 20. Babara Rose, 21. Lowell Van't Slot, 22. Howard
Chesney, 23. Fred Waldhauer, 24. Eric Saarinen, 25. Larry Owens, 26.
Peter Poole, 27. John Pearce, 28. Maja Klüver, 29. Olga Klüver, 30. Tom
Mee, 31. Elsa Garmire, 32. Sig Stenlund.
About three million people visited the Pavilion during the course of
Expo '70. Ardison Phillips calculated that the average visitor spent 23 minutes in the Pavilion, longer than any other pavilion. As a matter of fact, we once saw a Japanese family sitting on the astroturf peacefully having their lunch.

41.
At night Frosty Myers' Light Frame sculpture created a tilted rectangle of light around the Pavilion cutting through the Cloud on the dome. Four triangular poles of different heights, were set in a square 130 feet apart at each corner of the Pavilion plaza. At the top of each pole were two 500-watt, high intensity xenon lights, each light directed toward the light of the neighboring tower, creating a narrow beam of light between each tower to form the rectangle of light.
The number of technical breakthroughs in the Pavilion was quite astonishing: the cloud system, the 90-foot diameter spherical mirror, the xenon light frame, the sound loops in the floor, and the design of the control console. Almost everything we did was new and untried. But even more significant was that the Pavilion was a living, responsive environment: The Cloud and the Floats on the exterior were always moving, and inside the sound, lights and images in the mirror were always changing as people entered and explored it. The artists and engineers had created a large and complex work of art.","Collective Work
",,"Environment, Process, Reactive/Interactive, With People"
"Pepsi Pavilion Floats","32. [...] And on the plaza, seven of Robert Breer's Floats, six-foot high white sculptures, moved around slowly at less than 2 feet per minute, emitting sound.
","Work
","Sound","Sculpture, Cinetic"
"Pepsi Pavilion Light Frame","32. [...] Four tall triangular towers held the lights for Myers' Light Frame sculpture. 

33. At night Frosty Myers' Light Frame sculpture created a tilted rectangle of light around the Pavilion cutting through the Cloud on the dome. Four triangular poles of different heights, were set in a square 130 feet apart at each corner of the Pavilion plaza. At the top of each pole were two 500-watt, high intensity xenon lights, each light directed toward the light of the neighboring tower, creating a narrow beam of light between each tower to form the rectangle of light.","Work
","Light Equipment","Sculpture"
"Pepsi Pavilion Fog Sculpture","32. […] Outside the Pavilion, the dome, which had been decided on before we came into the project, was covered by a water vapor cloud sculpture, by Fujiko Nakaya.

35. The original four artists wanted to cover the dome, which had been decided on before we became involved, with a cloud and asked Japanese artist Fujiko Nakaya to create it. We had already rejected chemical means of producing fog: carbon dioxide for environmental reasons and urea for public relations ones. Nakaya found cloud physicist Tom Mee in Pasadena, who designed a nozzle system for her. Water under pressure of 500 psi is pushed through an orifice 10 mil in diameter and hits a small pin which breaks the water into
droplets tiny enough to remain suspended in air. The system for the Pavilion consisted of 2,520 jet-spray nozzles organized in 10-foot strands of plastic pipe with one nozzle every foot, placed in the ridges and valleys on the top section of the roof. The system could generate a 6-foot thick 150-foot diameter area of low-hanging cloud. This required 41 tons of water per hour, and we had to build a small reservoir to continually feed the system. Nakaya took this photograph the first day she had the cloud system turned on full. The Expo fire brigade showed up, but much to their relief found only what they called 'water smoke.'

36. A view of the Pavilion from the back with the cloud sculpture fully on and one of the towers for Myers' Light Frame sculpture. Nakaya designed a cloud control system to monitor the humidity and wind; different groups of nozzles were activated to produce more or less volume of cloud as the weather conditions demanded.

41. At night Frosty Myers' Light Frame sculpture created a tilted rectangle of light around the Pavilion cutting through the Cloud on the dome. […]","Work","Fog, Meteorology, Sensors","Sculpture, Reactive/Interactive"
"Pepsi Pavilion Clam Room","34. The sloping floor and ceiling of the Clam Room was designed by Robert Whitman to provide a transition between the outside of the Pavilion and the Mirror Dome upstairs. It was dark, with some light coming from the glass ceiling which was the center part of the floor of the Mirror Dome. A sound-activated laser deflection system showered the floor and visitors with moving patterns of laser light 10 feet across. Lowell Cross designed the system which split the beam from a krypton laser into four colors, and sent each color beam to sets of mirrors mounted at right angles and vibrating up to 500 cycles per second to create the patterns. This is a view of the Clam Room looking toward the entrance tunnel.","Work","Architecture","Environment, Design"
"Pepsi Pavilion Laser Deflection System","34. […] A sound-activated laser deflection system showered the floor and visitors with moving patterns of laser light 10 feet across. Lowell Cross designed the system which split the beam from a krypton laser into four colors, and sent each color beam to sets of mirrors mounted at right angles and vibrating up to 500 cycles per second to create the patterns. [...].","Work","Light, Laser","Installation, Cinetic"
